Task 57,completed,2023-10-03T12:45:00Z,2023-10-03T12:45:00Z
Task 58,open,2023-10-03T14:00:00Z,2023-10-03T14:00:00Z
Task 59,inprogress,2023-10-03T16:15:00Z,2023-10-03T16:15:00Z
Task 60,completed,2023-10-04T09:30:00Z,2023-10-04T09:30:00Z
Task 61,open,2023-10-04T11:00:00Z,2023-10-04T11:00:00Z
Task 62,inprogress,2023-10-04T13:30:00Z,2023-10-04T13:30:00Z
Task 63,completed,2023-10-04T15:45:00Z,2023-10-04T15:45:00Z
Task 64,open,2023-10-05T10:00:00Z,2023-10-05T10:00:00Z
Task 65,inprogress,2023-10-05T11:30:00Z,2023-10-05T11:30:00Z
Task 66,completed,2023-10-05T14:15:00Z,2023-10-05T14:15:00Z
Task 67,open,2023-10-05T16:45:00Z,2023-10-05T16:45:00Z
Task 68,inprogress,2023-10-05T09:20:00Z,2023-10-05T09:20:00Z
Task 69,completed,2023-10-06T12:00:00Z,2023-10-06T12:00:00Z
Task 70,open,2023-10-06T14:30:00Z,2023-10-06T14:30:00Z
Task 71,inprogress,2023-10-06T17:45:00Z,2023-10-06T17:45:00Z
Task 72,completed,2023-10-07T10:30:00Z,2023-10-07T10:30:00Z
Task 73,open,2023-10-07T11:45:00Z,2023-10-07T11:45:00Z
Task 74,inprogress,2023-10-07T13:15:00Z,2023-10-07T13:15:00Z
Task 75,completed,2023-10-07T15:30:00Z,2023-10-07T15:30:00Z
Task 76,open,2023-10-08T09:00:00Z,2023-10-08T09:00:00Z
Task 77,inprogress,2023-10-08T10:30:00Z,2023-10-08T10:30:00Z
Task 78,completed,2023-10-08T12:45:00Z,2023-10-08T12:45:00Z
Task 79,open,2023-10-08T14:00:00Z,2023-10-08T14:00:00Z
Task 80,inprogress,2023-10-08T16:15:00Z,2023-10-08T16:15:00Z
Task 81,completed,2023-10-09T09:30:00Z,2023-10-09T09:
